==== Test Report ====
Test: check_spatial_statistical_outliers_min_series
File: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Variable: pr
Dataset Name: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Parameters: {'threshold': 4.5, 'method': 'IQR'}
--- Messages ---
Outliers detected: 3212 points.
Outliers detected in minimum time series: 3212 points.

--- Results (coordinates, values) ---
iqr	(6, 22)	1.8541986836085333e-27,IQR:1.0819311093058758e-28
iqr	(6, 27)	2.867451766654442e-26,IQR:1.0819311093058758e-28
iqr	(6, 28)	2.314124852135398e-26,IQR:1.0819311093058758e-28
iqr	(6, 49)	3.4882689671774497e-25,IQR:1.0819311093058758e-28
iqr	(7, 49)	2.5698850361505187e-27,IQR:1.0819311093058758e-28
The rest of the coordinates are in the summary
--- Summary ---
Dataset: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Test: check_spatial_statistical_outliers
Variable: pr
Parameters: {'threshold': 4.5, 'method': 'IQR'}
Score: 0/1
Messages: ['Outliers detected: 3212 points.', 'Outliers detected in minimum time series: 3212 points.']
Coordinates and results:
Name	Index	Value	Score
iqr	(13, 143)	2.6895618077932223e-21	IQR:1.0819311093058758e-28
iqr	(14, 1)	1.1724294828026091e-20	IQR:1.0819311093058758e-28
iqr	(14, 2)	1.3781117602007007e-23	IQR:1.0819311093058758e-28
iqr	(14, 3)	2.388346758463972e-19	IQR:1.0819311093058758e-28
iqr	(14, 4)	7.635473528634279e-20	IQR:1.0819311093058758e-28
iqr	(14, 5)	2.5427899298072044e-17	IQR:1.0819311093058758e-28
iqr	(14, 6)	2.907924233614788e-19	IQR:1.0819311093058758e-28
iqr	(14, 7)	4.520122253441426e-19	IQR:1.0819311093058758e-28
iqr	(14, 8)	9.166615861742904e-20	IQR:1.0819311093058758e-28
iqr	(14, 9)	1.658170722699107e-17	IQR:1.0819311093058758e-28
iqr	(14, 10)	7.53878294088247e-22	IQR:1.0819311093058758e-28
iqr	(14, 11)	2.2702660555533666e-21	IQR:1.0819311093058758e-28
iqr	(14, 12)	2.693410772192095e-10	IQR:1.0819311093058758e-28
iqr	(14, 13)	1.490972206807939e-10	IQR:1.0819311093058758e-28
iqr	(14, 14)	3.552336735904083e-17	IQR:1.0819311093058758e-28
iqr	(14, 15)	1.40216431190158e-16	IQR:1.0819311093058758e-28
iqr	(14, 16)	5.1499438021636746e-15	IQR:1.0819311093058758e-28
iqr	(14, 17)	2.5639303501583447e-17	IQR:1.0819311093058758e-28
iqr	(14, 18)	6.951619250450744e-18	IQR:1.0819311093058758e-28
iqr	(14, 19)	1.154682662033582e-20	IQR:1.0819311093058758e-28
iqr	(14, 20)	2.8635958830820127e-21	IQR:1.0819311093058758e-28
iqr	(14, 23)	7.785740357574134e-26	IQR:1.0819311093058758e-28
iqr	(14, 27)	1.1505113528542665e-09	IQR:1.0819311093058758e-28
iqr	(14, 28)	6.359510140718783e-10	IQR:1.0819311093058758e-28
iqr	(14, 29)	9.446725526666717e-17	IQR:1.0819311093058758e-28
iqr	(14, 30)	4.5602612753836225e-16	IQR:1.0819311093058758e-28
iqr	(14, 31)	2.2856890267103716e-16	IQR:1.0819311093058758e-28
iqr	(14, 32)	1.0240499292128933e-17	IQR:1.0819311093058758e-28
iqr	(14, 33)	8.0135530075646015e-22	IQR:1.0819311093058758e-28
iqr	(14, 34)	1.0928910566182986e-26	IQR:1.0819311093058758e-28
iqr	(14, 46)	6.951274174771435e-22	IQR:1.0819311093058758e-28
iqr	(14, 48)	2.2058150325464826e-24	IQR:1.0819311093058758e-28
iqr	(14, 49)	8.796144614290768e-24	IQR:1.0819311093058758e-28
iqr	(14, 50)	3.968118659111871e-23	IQR:1.0819311093058758e-28
iqr	(14, 59)	1.4950310122196053e-21	IQR:1.0819311093058758e-28
iqr	(14, 60)	2.598823568108493e-21	IQR:1.0819311093058758e-28
